State,Name,Status,PopulationCensus2006-03-21,PopulationProjection2022-03-21
Abia,Aba North,Local Government Area,106844,155600
Abia,Aba South,Local Government Area,427421,622400
Abia,Arochukwu,Local Government Area,169339,246600
Abia,Bende,Local Government Area,192621,280500
Abia,Ikwuano,Local Government Area,137897,200800
Abia,Isiala-Ngwa North,Local Government Area,154083,224400
Abia,Isiala-Ngwa South,Local Government Area,136650,199000
Abia,Isuikwuato,Local Government Area,115794,168600
Abia,Obi Ngwa,Local Government Area,181894,264900
Abia,Ohafia,Local Government Area,245987,358200
Abia,Osisioma Ngwa,Local Government Area,220662,321300
Abia,Ugwunagbo,Local Government Area,85371,124300
Abia,Ukwa East,Local Government Area,58139,84700
Abia,Ukwa West,Local Government Area,87367,127200
Abia,Umuahia North,Local Government Area,223134,324900
Abia,Umuahia South,Local Government Area,139058,202500
Abia,Umu-Nneochi,Local Government Area,163119,237500
Adamawa,Demsa,Local Government Area,178407,275100
Adamawa,Fufore,Local Government Area,209460,323000
Adamawa,Ganye,Local Government Area,169948,262100
Adamawa,Girei,Local Government Area,129855,200200
Adamawa,Gombi,Local Government Area,147787,227900
Adamawa,Guyuk,Local Government Area,176505,272200
Adamawa,Hong,Local Government Area,169183,260900
Adamawa,Jada,Local Government Area,168445,259700
Adamawa,Lamurde,Local Government Area,111254,171600
Adamawa,Madagali,Local Government Area,135142,208400
Adamawa,Maiha,Local Government Area,110175,169900
Adamawa,Mayo-Belwa,Local Government Area,152803,235600
Adamawa,Michika,Local Government Area,155238,239400
Adamawa,Mubi North,Local Government Area,151515,233600
Adamawa,Mubi South,Local Government Area,129956,200400
Adamawa,Numan,Local Government Area,91549,141200
Adamawa,Shelleng,Local Government Area,148490,229000
Adamawa,Song,Local Government Area,195188,301000
Adamawa,Toungo,Local Government Area,52179,80500
Adamawa,Yola North,Local Government Area,199674,307900
Adamawa,Yola South,Local Government Area,196197,302500
Akwa Ibom,Abak,Local Government Area,139069,177500
Akwa Ibom,Eastern Obolo,Local Government Area,59970,76500
Akwa Ibom,Eket,Local Government Area,172856,220600
Akwa Ibom,Esit Eket,Local Government Area,63358,80900
Akwa Ibom,Essien Udim,Local Government Area,193257,246600
Akwa Ibom,Etim Ekpo,Local Government Area,105922,135200
Akwa Ibom,Etinan,Local Government Area,168924,215600
Akwa Ibom,Ibeno,Local Government Area,74840,95500
Akwa Ibom,Ibesikpo Asutan,Local Government Area,137127,175000
Akwa Ibom,Ibiono Ibom,Local Government Area,188605,240700
Akwa Ibom,Ika,Local Government Area,72772,92900
Akwa Ibom,Ikono,Local Government Area,131673,168000
Akwa Ibom,Ikot Abasi,Local Government Area,132608,169200
Akwa Ibom,Ikot Ekpene,Local Government Area,141408,180500
Akwa Ibom,Ini,Local Government Area,99084,126400
Akwa Ibom,Itu,Local Government Area,127856,163200
Akwa Ibom,Mbo,Local Government Area,102173,130400
Akwa Ibom,Mkpat Enin,Local Government Area,177293,226200
Akwa Ibom,Nsit Atai,Local Government Area,73395,93700
Akwa Ibom,Nsit Ibom,Local Government Area,108095,137900
Akwa Ibom,Nsit Ubium,Local Government Area,127083,162200
Akwa Ibom,Obot Akara,Local Government Area,147286,188000
Akwa Ibom,Okobo,Local Government Area,102753,131100
Akwa Ibom,Onna,Local Government Area,123193,157200
Akwa Ibom,Oron,Local Government Area,87209,111300
Akwa Ibom,Oruk Anam,Local Government Area,171839,219300
Akwa Ibom,Udung Uko,Local Government Area,53060,67700
Akwa Ibom,Ukanafun,Local Government Area,125473,160100
Akwa Ibom,Uruan,Local Government Area,117169,149500
Akwa Ibom,Urue-Offong/Oruko,Local Government Area,70740,90300
Akwa Ibom,Uyo,Local Government Area,305961,390400
Anambra,Aguata,Local Government Area,369972,527200
Anambra,Anambra East,Local Government Area,152149,216800
Anambra,Anambra West,Local Government Area,167303,238400
