row_id,zone,state,lga,period,live_births_count
1,South East,Abia,ab Aba North Local Government Area,21-Jan,6
2,South East,Abia,ab Aba North Local Government Area,21-Feb,66
3,South East,Abia,ab Aba North Local Government Area,21-Mar,50
4,South East,Abia,ab Aba North Local Government Area,21-Apr,96
5,South East,Abia,ab Aba North Local Government Area,21-May,47
6,South East,Abia,ab Aba North Local Government Area,21-Jun,70
7,South East,Abia,ab Aba North Local Government Area,21-Jul,466
8,South East,Abia,ab Aba North Local Government Area,21-Aug,22
9,South East,Abia,ab Aba North Local Government Area,21-Sep,21
10,South East,Abia,ab Aba North Local Government Area,21-Oct,27
11,South East,Abia,ab Aba North Local Government Area,21-Nov,86
12,South East,Abia,ab Aba North Local Government Area,21-Dec,31
13,South East,Abia,ab Aba North Local Government Area,22-Jan,67
14,South East,Abia,ab Aba North Local Government Area,22-Feb,31
15,South East,Abia,ab Aba North Local Government Area,22-Mar,64
16,South East,Abia,ab Aba North Local Government Area,22-Apr,52
17,South East,Abia,ab Aba North Local Government Area,22-May,85
18,South East,Abia,ab Aba North Local Government Area,22-Jun,23
19,South East,Abia,ab Aba North Local Government Area,22-Jul,40
20,South East,Abia,ab Aba North Local Government Area,22-Aug,122
21,South East,Abia,ab Aba North Local Government Area,22-Sep,57
22,South East,Abia,ab Aba North Local Government Area,22-Oct,127
23,South East,Abia,ab Aba North Local Government Area,22-Nov,138
24,South East,Abia,ab Aba North Local Government Area,22-Dec,162
25,South East,Abia,ab Aba North Local Government Area,23-Jan,143
26,South East,Abia,ab Aba North Local Government Area,23-Feb,88
27,South East,Abia,ab Aba North Local Government Area,23-Mar,120
28,South East,Abia,ab Aba North Local Government Area,23-Apr,176
29,South East,Abia,ab Aba North Local Government Area,23-May,80
30,South East,Abia,ab Aba North Local Government Area,23-Jun,81
31,South East,Abia,ab Aba North Local Government Area,23-Jul,76
32,South East,Abia,ab Aba North Local Government Area,23-Aug,148
33,South East,Abia,ab Aba North Local Government Area,23-Sep,89
34,South East,Abia,ab Aba North Local Government Area,23-Oct,142
35,South East,Abia,ab Aba North Local Government Area,23-Nov,99
36,South East,Abia,ab Aba North Local Government Area,23-Dec,61
37,South East,Abia,ab Aba North Local Government Area,24-Jan,116
38,South East,Abia,ab Aba North Local Government Area,24-Feb,160
39,South East,Abia,ab Aba North Local Government Area,24-Mar,76
40,South East,Abia,ab Aba North Local Government Area,24-Apr,119
41,South East,Abia,ab Aba North Local Government Area,24-May,163
42,South East,Abia,ab Aba North Local Government Area,24-Jun,84
43,South East,Abia,ab Aba North Local Government Area,24-Jul,121
44,South East,Abia,ab Aba North Local Government Area,24-Aug,120
45,South East,Abia,ab Aba North Local Government Area,24-Sep,160
46,South East,Abia,ab Aba North Local Government Area,24-Oct,108
47,South East,Abia,ab Aba North Local Government Area,24-Nov,64
48,South East,Abia,ab Aba North Local Government Area,24-Dec,73
49,South East,Abia,ab Aba North Local Government Area,25-Jan,122
50,South East,Abia,ab Aba North Local Government Area,25-Feb,140
51,South East,Abia,ab Aba North Local Government Area,25-Mar,142
52,South East,Abia,ab Aba North Local Government Area,25-Apr,188
53,South East,Abia,ab Aba North Local Government Area,25-May,207
54,South East,Abia,ab Aba North Local Government Area,25-Jun,171
55,South East,Abia,ab Aba North Local Government Area,25-Jul,155
56,South East,Abia,ab Aba North Local Government Area,25-Aug,404
57,South East,Abia,ab Aba North Local Government Area,25-Sep,469
58,South East,Abia,ab Aba North Local Government Area,25-Oct,516
59,South East,Abia,ab Aba North Local Government Area,25-Nov,408
60,South East,Abia,ab Aba North Local Government Area,25-Dec,360
61,South East,Abia,ab Aba South Local Government Area,21-Jan,327
62,South East,Abia,ab Aba South Local Government Area,21-Feb,382
63,South East,Abia,ab Aba South Local Government Area,21-Mar,395
64,South East,Abia,ab Aba South Local Government Area,21-Apr,550
65,South East,Abia,ab Aba South Local Government Area,21-May,562
66,South East,Abia,ab Aba South Local Government Area,21-Jun,495
67,South East,Abia,ab Aba South Local Government Area,21-Jul,464
68,South East,Abia,ab Aba South Local Government Area,21-Aug,448
69,South East,Abia,ab Aba South Local Government Area,21-Sep,501
70,South East,Abia,ab Aba South Local Government Area,21-Oct,375
71,South East,Abia,ab Aba South Local Government Area,21-Nov,372
72,South East,Abia,ab Aba South Local Government Area,21-Dec,289
73,South East,Abia,ab Aba South Local Government Area,22-Jan,297
74,South East,Abia,ab Aba South Local Government Area,22-Feb,344
75,South East,Abia,ab Aba South Local Government Area,22-Mar,322
76,South East,Abia,ab Aba South Local Government Area,22-Apr,269
77,South East,Abia,ab Aba South Local Government Area,22-May,508
78,South East,Abia,ab Aba South Local Government Area,22-Jun,401
79,South East,Abia,ab Aba South Local Government Area,22-Jul,428
80,South East,Abia,ab Aba South Local Government Area,22-Aug,322
81,South East,Abia,ab Aba South Local Government Area,22-Sep,298
82,South East,Abia,ab Aba South Local Government Area,22-Oct,403
83,South East,Abia,ab Aba South Local Government Area,22-Nov,454
84,South East,Abia,ab Aba South Local Government Area,22-Dec,256
85,South East,Abia,ab Aba South Local Government Area,23-Jan,416
86,South East,Abia,ab Aba South Local Government Area,23-Feb,306
87,South East,Abia,ab Aba South Local Government Area,23-Mar,375
88,South East,Abia,ab Aba South Local Government Area,23-Apr,394
89,South East,Abia,ab Aba South Local Government Area,23-May,480
90,South East,Abia,ab Aba South Local Government Area,23-Jun,368
91,South East,Abia,ab Aba South Local Government Area,23-Jul,285
92,South East,Abia,ab Aba South Local Government Area,23-Aug,368
93,South East,Abia,ab Aba South Local Government Area,23-Sep,361
94,South East,Abia,ab Aba South Local Government Area,23-Oct,410
95,South East,Abia,ab Aba South Local Government Area,23-Nov,352
96,South East,Abia,ab Aba South Local Government Area,23-Dec,345
97,South East,Abia,ab Aba South Local Government Area,24-Jan,348
98,South East,Abia,ab Aba South Local Government Area,24-Feb,324
99,South East,Abia,ab Aba South Local Government Area,24-Mar,365
100,South East,Abia,ab Aba South Local Government Area,24-Apr,395
101,South East,Abia,ab Aba South Local Government Area,24-May,418
102,South East,Abia,ab Aba South Local Government Area,24-Jun,434
103,South East,Abia,ab Aba South Local Government Area,24-Jul,372
104,South East,Abia,ab Aba South Local Government Area,24-Aug,305
105,South East,Abia,ab Aba South Local Government Area,24-Sep,391
106,South East,Abia,ab Aba South Local Government Area,24-Oct,395
107,South East,Abia,ab Aba South Local Government Area,24-Nov,387
108,South East,Abia,ab Aba South Local Government Area,24-Dec,289
109,South East,Abia,ab Aba South Local Government Area,25-Jan,307
110,South East,Abia,ab Aba South Local Government Area,25-Feb,325
111,South East,Abia,ab Aba South Local Government Area,25-Mar,394
112,South East,Abia,ab Aba South Local Government Area,25-Apr,400
113,South East,Abia,ab Aba South Local Government Area,25-May,381
114,South East,Abia,ab Aba South Local Government Area,25-Jun,401
115,South East,Abia,ab Aba South Local Government Area,25-Jul,338
116,South East,Abia,ab Aba South Local Government Area,25-Aug,391
117,South East,Abia,ab Aba South Local Government Area,25-Sep,313
118,South East,Abia,ab Aba South Local Government Area,25-Oct,447
119,South East,Abia,ab Aba South Local Government Area,25-Nov,340
120,South East,Abia,ab Aba South Local Government Area,25-Dec,300
121,South East,Abia,ab Arochukwu Local Government Area,21-Jan,26
122,South East,Abia,ab Arochukwu Local Government Area,21-Feb,36
123,South East,Abia,ab Arochukwu Local Government Area,21-Mar,46
124,South East,Abia,ab Arochukwu Local Government Area,21-Apr,58
125,South East,Abia,ab Arochukwu Local Government Area,21-May,63
126,South East,Abia,ab Arochukwu Local Government Area,21-Jun,46
127,South East,Abia,ab Arochukwu Local Government Area,21-Jul,27
128,South East,Abia,ab Arochukwu Local Government Area,21-Aug,54
129,South East,Abia,ab Arochukwu Local Government Area,21-Sep,38
130,South East,Abia,ab Arochukwu Local Government Area,21-Oct,45
131,South East,Abia,ab Arochukwu Local Government Area,21-Nov,33
132,South East,Abia,ab Arochukwu Local Government Area,21-Dec,59
133,South East,Abia,ab Arochukwu Local Government Area,22-Jan,34
134,South East,Abia,ab Arochukwu Local Government Area,22-Feb,47
135,South East,Abia,ab Arochukwu Local Government Area,22-Mar,46
136,South East,Abia,ab Arochukwu Local Government Area,22-Apr,49
137,South East,Abia,ab Arochukwu Local Government Area,22-May,53
138,South East,Abia,ab Arochukwu Local Government Area,22-Jun,32
139,South East,Abia,ab Arochukwu Local Government Area,22-Jul,45
140,South East,Abia,ab Arochukwu Local Government Area,22-Aug,49
141,South East,Abia,ab Arochukwu Local Government Area,22-Sep,41
142,South East,Abia,ab Arochukwu Local Government Area,22-Oct,47
143,South East,Abia,ab Arochukwu Local Government Area,22-Nov,45
144,South East,Abia,ab Arochukwu Local Government Area,22-Dec,45
145,South East,Abia,ab Arochukwu Local Government Area,23-Jan,33
146,South East,Abia,ab Arochukwu Local Government Area,23-Feb,36
147,South East,Abia,ab Arochukwu Local Government Area,23-Mar,47
148,South East,Abia,ab Arochukwu Local Government Area,23-Apr,28
149,South East,Abia,ab Arochukwu Local Government Area,23-May,21
150,South East,Abia,ab Arochukwu Local Government Area,23-Jun,61
151,South East,Abia,ab Arochukwu Local Government Area,23-Jul,34
152,South East,Abia,ab Arochukwu Local Government Area,23-Aug,36
153,South East,Abia,ab Arochukwu Local Government Area,23-Sep,37
154,South East,Abia,ab Arochukwu Local Government Area,23-Oct,43
155,South East,Abia,ab Arochukwu Local Government Area,23-Nov,30
156,South East,Abia,ab Arochukwu Local Government Area,23-Dec,38
157,South East,Abia,ab Arochukwu Local Government Area,24-Jan,34
158,South East,Abia,ab Arochukwu Local Government Area,24-Feb,23
159,South East,Abia,ab Arochukwu Local Government Area,24-Mar,35
160,South East,Abia,ab Arochukwu Local Government Area,24-Apr,48
161,South East,Abia,ab Arochukwu Local Government Area,24-May,57
162,South East,Abia,ab Arochukwu Local Government Area,24-Jun,58
163,South East,Abia,ab Arochukwu Local Government Area,24-Jul,60
164,South East,Abia,ab Arochukwu Local Government Area,24-Aug,69
165,South East,Abia,ab Arochukwu Local Government Area,24-Sep,69
166,South East,Abia,ab Arochukwu Local Government Area,24-Oct,73
167,South East,Abia,ab Arochukwu Local Government Area,24-Nov,77
168,South East,Abia,ab Arochukwu Local Government Area,24-Dec,58
169,South East,Abia,ab Arochukwu Local Government Area,25-Jan,84
170,South East,Abia,ab Arochukwu Local Government Area,25-Feb,58
171,South East,Abia,ab Arochukwu Local Government Area,25-Mar,56
172,South East,Abia,ab Arochukwu Local Government Area,25-Apr,68
173,South East,Abia,ab Arochukwu Local Government Area,25-May,70
174,South East,Abia,ab Arochukwu Local Government Area,25-Jun,69
175,South East,Abia,ab Arochukwu Local Government Area,25-Jul,77
176,South East,Abia,ab Arochukwu Local Government Area,25-Aug,121
177,South East,Abia,ab Arochukwu Local Government Area,25-Sep,122
178,South East,Abia,ab Arochukwu Local Government Area,25-Oct,117
179,South East,Abia,ab Arochukwu Local Government Area,25-Nov,95
