ADM1_NAME,ADM2_NAME,dtp1_2018,dtp1_lo,dtp1_hi
Abia,Aba North,93.78,85.99,98.2
Abia,Aba South,92.83,84.14,97.78
Abia,Arochukw,84.73,72.17,92.98
Abia,Bende,87.18,76.18,94.29
Abia,Ikwuano,88.11,77.44,95.1
Abia,Isiala Ngwa North,89.75,80.28,96.0
Abia,Isiala Ngwa South,88.53,78.36,95.87
Abia,Isuikwua,85.98,73.46,93.92
Abia,Oboma Ngwa,91.07,81.75,96.72
Abia,Ohafia Abia,87.91,77.05,94.8
Abia,Osisioma Ngwa,91.05,82.11,96.81
Abia,Ugwunagbo,91.4,82.12,96.67
Abia,Ukwa East,88.39,77.36,95.61
Abia,Ukwa West,90.1,80.6,96.07
Abia,Umu-Nneochi,88.3,76.59,95.65
Abia,Umuahia North,90.45,80.46,96.38
Abia,Umuahia South,90.83,81.33,96.69
Adamawa,Demsa,73.84,58.24,86.89
Adamawa,Fufore,56.88,42.48,71.38
Adamawa,Ganye,76.28,59.82,89.39
Adamawa,Girie,73.78,55.32,87.98
Adamawa,Gombi,60.02,42.47,76.64
Adamawa,Guyuk,72.29,54.62,86.15
Adamawa,Hong,68.11,52.36,81.23
Adamawa,Jada,75.45,58.62,88.03
Adamawa,Lamurde,82.17,65.84,91.97
Adamawa,Madagali,78.3,59.58,92.2
Adamawa,Maiha,59.46,41.48,77.18
Adamawa,Mayo-Bel,76.03,59.94,88.04
Adamawa,Michika,78.52,60.83,91.06
Adamawa,Mubi North,67.95,51.55,81.22
Adamawa,Mubi South,64.65,46.58,79.69
Adamawa,Numan,83.47,68.22,93.35
Adamawa,Shelleng,75.14,60.12,87.92
Adamawa,Song,62.54,45.42,78.78
Adamawa,Teungo,74.08,55.09,88.42
Adamawa,Yola North,72.35,54.75,86.84
Adamawa,Yola South,66.83,48.88,83.58
Akwa Ibom,Abak,90.94,80.11,96.96
Akwa Ibom,Eastern Obolo,79.71,63.08,91.59
Akwa Ibom,Eket,81.79,66.19,92.72
Akwa Ibom,Esit Eket,77.63,61.68,90.1
Akwa Ibom,Essien-U,91.22,82.15,96.64
Akwa Ibom,EtimEkpo,89.6,79.05,95.89
Akwa Ibom,Etinan,84.88,70.54,93.9
Akwa Ibom,Ibeno,73.78,55.9,87.4
Akwa Ibom,Ibesikpo Asutan,85.61,73.13,94.17
Akwa Ibom,Ibiono Ibom,85.68,73.07,94.48
Akwa Ibom,Ika,90.34,80.82,96.2
Akwa Ibom,Ikono,87.93,76.35,95.6
Akwa Ibom,Ikot-Aba,84.74,70.33,93.87
Akwa Ibom,Ikot-Ekp,89.87,79.75,96.18
Akwa Ibom,Ini,83.59,70.43,92.8
Akwa Ibom,Itu,85.88,74.3,94.81
Akwa Ibom,Mbo,68.93,50.07,85.41
Akwa Ibom,Mkpat Enin,83.81,70.16,93.27
Akwa Ibom,Nsit Atai,80.77,64.53,91.52
Akwa Ibom,Nsit Ibom,86.12,73.15,94.28
Akwa Ibom,Nsit Ubium,82.82,68.08,92.69
Akwa Ibom,Obot Akara,87.8,76.27,95.39
Akwa Ibom,Okobo,77.59,60.96,89.7
Akwa Ibom,Onna,82.08,66.38,93.44
Akwa Ibom,Oron,73.6,55.92,88.1
Akwa Ibom,Oruk-Ana,85.1,70.46,94.45
Akwa Ibom,Udung Uko,69.93,50.02,86.31
Akwa Ibom,Ukanafun,88.17,75.51,95.83
Akwa Ibom,Uruan,82.49,69.25,92.42
Akwa Ibom,UrueOffo,75.28,56.99,88.82
Akwa Ibom,Uyo,88.87,78.17,96.05
Anambra,Aguata,91.12,82.0,96.61
Anambra,Anambra East,90.53,80.63,96.28
Anambra,Anambra West,79.68,64.13,90.75
Anambra,Anaocha,93.17,84.83,97.31
Anambra,AwkaNort,92.46,85.12,97.12
Anambra,AwkaSout,94.3,87.66,97.97
Anambra,Ayamelum,81.8,67.72,92.14
Anambra,Dunukofia,94.39,87.08,98.02
Anambra,Ekwusigo,91.22,81.46,96.46
Anambra,Idemili North,94.15,86.15,98.06
Anambra,Idemili South,92.93,84.39,97.31
Anambra,Ihiala,86.33,73.47,94.58
Anambra,Njikoka,94.6,87.46,98.14
Anambra,NnewiNort,91.65,82.22,96.81
Anambra,NnewiSou,89.26,78.6,95.76
Anambra,Ogbaru,85.51,73.47,93.81
Anambra,Onitsha North,93.85,85.86,97.96
Anambra,Onitsha South,92.35,84.28,97.43
Anambra,OrumbaNo,91.6,82.71,96.73
Anambra,OrumbaSo,90.36,80.06,96.14
Anambra,Oyi,94.12,86.06,97.98
Bauchi,Alkaleri,54.74,38.36,69.96
Bauchi,Bauchi,60.71,43.83,77.32
Bauchi,Bogoro,83.65,67.69,93.68
Bauchi,Damban,46.32,27.52,67.05
Bauchi,Darazo,33.69,19.18,50.32
