platform_State,platform_LGA,archetype,archetype_type,zero_dose_rate_pct,zero_dose_children,edu_mean_years_women_15_49,stunting_prev_u5,wasting_prev_u5,underweight_prev_u5,dpt1_3_dropout,poverty_rate,exclusive_breastfeeding,ors_coverage,anc4plus,delivery_hf,improved_water,travel_time_hc,relative_wealth_index,conflict_events,conflict_fatalities
Abia,Aba North,5,Urban Slums (better-off urban core),8.64,433.0,11.52746751,0.169914387,0.090967264,0.132166089,0.328699071,0.0173775,0.213597868383028,27.4111060973699,0.8784905274709066,0.913139820098877,0.9964010715484619,0.2971209235813307,1.273,10,11
Abia,Aba South,5,Urban Slums (better-off urban core),16.6,3332.0,11.03847868,0.18244904,0.087364946,0.135930366,0.316218749,0.0944801,0.220108078984174,26.2561366882351,0.8786468505859375,0.8843975067138672,0.9953031539916992,0.5885686278343201,1.057428571428571,54,73
Abia,Arochukwu,4,Peri-urban / Migrant Dense (transitional),6.93,551.0,8.503211463,0.240999274,0.081386658,0.1503311,0.246461566,0.175241,0.266250153645523,27.8985197509649,0.759090814834986,0.6178594246888772,0.5633997794909354,7.982426782349246,0.05155102040816326,10,28
Abia,Bende,5,Urban Slums (better-off urban core),5.13,464.0,8.716203703,0.221135825,0.081500308,0.144815099,0.341665081,0.129469,0.239909910334763,25.8928137506888,0.8048908009248621,0.779299492929496,0.712683359781901,6.221879329587439,0.002826666666666668,6,2
Abia,Ikwuano,5,Urban Slums (better-off urban core),7.26,470.0,8.944544703,0.240755579,0.083421624,0.152648835,0.314239086,0.111351,0.230665715802625,25.6412476681722,0.8285494717684659,0.788970253684304,0.8326092633334073,4.422874656883446,0.3473513513513514,2,6
Abia,Isiala-Ngwa North,5,Urban Slums (better-off urban core),7.71,558.0,8.944799162,0.221316869,0.081094634,0.151831987,0.333109142,0.124162,0.210867125399238,24.5397230602079,0.878568967183431,0.8928062915802002,0.9529990355173746,1.92518636287062,0.4294666666666667,6,2
Abia,Isiala-Ngwa South,5,Urban Slums (better-off urban core),6.11,392.0,8.976192354,0.224043488,0.080498472,0.152178559,0.334270378,0.12644,0.214629437626598,24.7731207709837,0.8673286437988281,0.8738346862792968,0.9538899230957031,1.838379599831321,0.3352727272727273,6,4
Abia,Isuikwuato,5,Urban Slums (better-off urban core),10.03,545.0,8.672945916,0.208896401,0.080589395,0.138884941,0.305117937,0.206315,0.222248721865214,25.2448105110433,0.831047773361206,0.8490188121795654,0.7659827470779419,4.542672224870817,0.07932692307692307,11,6
Abia,Obi Ngwa,4,Peri-urban / Migrant Dense (transitional),,,9.656276918,0.217253088,0.080330933,0.149927535,0.319205678,0.162597,0.227132514547874,24.5065501468165,,,,,,0,0
Abia,Ohafia,5,Urban Slums (better-off urban core),10.89,1258.0,8.711169139,0.22625781,0.080181245,0.14580263,0.284060006,0.220334,0.24388677583829,27.2876583022446,0.7830290543405634,0.7356903176558646,0.6479978059467516,7.231322416271989,-0.00495774647887324,20,68
Abia,Osisioma Ngwa,5,Urban Slums (better-off urban core),4.47,463.0,10.42084382,0.201139668,0.077386138,0.140387698,0.327660685,0.0850613,0.251898560176249,24.2906463993314,0.8612634759200247,0.8752676311292147,0.9655308974416632,1.325208056104052,0.5858000000000001,10,10
Abia,Ugwunagbo,5,Urban Slums (better-off urban core),12.09,485.0,9.470720912,0.232171818,0.078180306,0.152331949,0.242083151,0.170354,0.239665021884551,24.423492459175,0.8615483504075271,0.7522075359637921,0.9701472062330979,1.498924918796705,0.4083,2,1
