State,BCG vaccination received,Fully vaccinated (8 basic antigens),Fully vaccinated (according to national schedule),IPV 2 vaccination received,IPV vaccination 1 received,Measles 2 vaccination received [24-35],Measles vaccination received,Pentavalent 1 vaccination received,Pentavalent 2 vaccination received,Pentavalent 3 vaccination received,Polio 0 vaccination received,Polio 1 vaccination received,Polio 2 vaccination received,Polio 3 vaccination received,Received all age appropriate vaccinations [24-35],Received no vaccinations,Rotavirus 1 vaccination received,Rotavirus 2 vaccination received,Rotavirus 3 vaccination received
Abia,93.4,38,20.7,74.3,91.7,66.2,75.4,95.8,91.8,79.7,85,97.6,73.4,39.5,23.1,1.3,81,69.6,45
Adamawa,70.8,38.4,23.2,37.2,62.1,31.1,55.7,70.9,65.3,59.2,68,70.2,62.5,44.3,14,25.1,61.6,51.4,29.1
Akwa Ibom,84.8,50.8,22.9,57.7,76.1,53.2,68.7,84.9,81.5,72.8,62.4,88.7,81.3,55.6,20.3,6.9,57.7,32.7,8.9
Anambra,90.4,48.7,26.8,56.5,77.1,49.7,69.8,85.1,82.2,78.6,81.1,87.1,83.5,59.4,16,8.7,70,49.8,12.3
Bauchi,66.5,51.4,22.5,35,43,26.8,57,63.1,60,58.2,52.1,63,60.1,54.9,17.5,32.3,56.4,51,23.6
Bayelsa,84.8,63.4,54.6,63.1,76.2,52.3,70.8,80.9,77.7,73.4,79.5,81.3,75.2,69.3,34.2,14.9,72.8,60.2,39.4
Benue,71.5,25.4,13.2,39.1,56.9,21.3,43.9,67.3,60.8,44.3,62.9,66.5,48.8,36.1,7.6,26.1,48.4,29.6,15.2
Borno,76.2,28.5,16.2,32.2,60.1,23.7,45.4,68.3,63.5,42.2,68.3,71.5,52.1,35.1,9.3,21.2,60.5,41.2,11.3
Cross River,93.7,68.6,40.1,68.3,96.6,51.7,82.8,97.2,97.2,94.6,87.7,98,96.8,65.5,17.1,2,87.1,82.6,34.8
Delta,93,68.1,45,69.8,86.8,65.7,86.7,92.4,90.8,85.7,82.9,92.9,85.5,68.1,36,6.2,78.3,63.2,18.3
Ebonyi,98.2,57.9,36.4,60.1,89,41.7,70.4,97.4,95.8,75.9,76.5,97.4,91.6,69.4,25.8,1.8,74.5,52.8,25.1
Edo,97.9,58.4,33.5,65.4,90.4,60.5,88.8,96.3,90.6,84.5,88.3,97.9,86.6,57.8,17.1,2.1,87.8,54.5,14.1
Ekiti,94,56.6,38.6,65,89.5,41.3,74.3,94,94,75.9,91.2,92.4,88.9,61.7,20.9,6,81.6,67.5,34.7
Enugu,85.6,51.8,29,61,76.7,41.5,82.5,87.2,86.2,81.6,78.8,85.1,74,48.9,16.9,12.8,76.6,66.3,32.4
FCT,93.8,45.6,24.8,71.5,84.4,38.5,79.9,93.8,91.9,84.8,85.5,93,74.3,51,17.3,5.8,87.2,78.1,44
Gombe,69.5,49.2,21.9,45.9,63.2,20.4,58.5,66,64.5,59.8,56.9,72.4,65.6,56,10.9,25.5,58.3,43.4,16.7
Imo,95,59.1,38.2,73.8,86.1,61.4,83.3,94.4,92.5,83.4,87.4,94,83,62.8,29,5,82.1,64.5,36.6
Jigawa,66.4,56.9,32.9,48.7,62.3,35.2,62.6,65.7,65.2,62.2,54.1,71.8,69.3,62.7,7.9,26.9,58.7,47.9,31.2
Kaduna,58.4,35.7,9.9,23.3,47.4,36.8,45.3,54.4,50.1,48,48.3,59.8,54.6,44.3,7.9,34,46.3,29.4,10.8
Kano,63.5,35.8,13.6,27,46.7,18.3,38.6,57.6,54.1,47.5,55.1,58.8,52.8,45.6,6.4,35.5,48.4,41.1,18.6
Katsina,65.4,45.3,15.1,39.3,57,25,53.7,60.2,58.3,53.3,45.1,60.9,58.4,43.3,8.5,34.1,53.4,33.1,12.9
Kebbi,21.6,9.7,4.1,6.6,12.7,2.4,13.5,16,14.9,13.1,15.9,16.9,14.4,12.9,0.2,78.1,14.7,12.1,3.4
Kogi,43.9,16.8,7.5,21.4,36.6,9.5,27.5,43,42.1,37.1,39.9,44.1,39,29.2,2.1,54.2,41.2,25.3,4.4
Kwara,51.9,28.1,13,29.7,43.9,22.7,35.8,48.3,45,34.9,49,47.9,35,30.7,11.1,48.1,40.9,29.7,15.6
Lagos,95.3,66.1,43.9,74.2,87.4,52,88,95.3,92.3,87.6,85.6,96.9,93.8,65.7,23.9,3.1,90,66.1,28.5
Nasarawa,81.4,42.3,29.2,47,65,37.3,56.1,79.7,75.4,67.1,77.8,79,72.8,57.9,17,17.5,70,58.8,30.6
Niger,47.8,28.3,10.5,20,32.7,20.4,35,44,41.4,36.7,43.8,43.5,40.8,31.9,2.6,51.2,39.1,29.3,7
Ogun,88.4,51.4,33.3,65.7,72,42.8,66.1,79.4,78.2,73.9,77.7,82.5,76.8,53.5,15,11.6,62.5,48.4,18.1
Ondo,76.5,50.9,46.6,59.5,71.6,51.4,65.1,76.5,70.2,63.9,74,76.5,59.7,57.5,31.4,23.5,72,57.8,34.8
Osun,90.3,55.3,41.2,65.6,79.4,56.7,67.1,90.6,82.3,67.1,83.2,84.8,74.1,61.9,27.1,8.4,69.1,53,22.8
Oyo,71.4,31.1,15.9,48.3,64.5,47.1,55.2,70.1,60.8,52.6,63.1,65.6,52.4,41.7,19.8,26.9,61.4,36.4,17.4
Plateau,69.7,25.3,13.4,27.8,49.9,18.8,43.9,64.7,58.4,47.1,59,66.1,59.8,39.1,5,26.7,62.7,50.4,22.8
Rivers,77.3,55.7,29.3,58.6,76.1,47.5,68.4,77.3,76.3,71,57.8,75.8,67.6,60.9,11.2,21.2,68.3,51.1,21.6
Sokoto,14.1,8.4,2.7,6,12.9,8.8,10.9,13.5,12.2,10.9,9.5,14.9,11.3,8.9,2.8,84.2,12.3,9.9,5.2
Taraba,65.7,26,8,27.9,48.7,15.3,41.9,59.3,58.7,47.3,62.1,54.4,47.5,40.4,3.2,32.1,54.6,41.6,14.4
Yobe,79.1,37.4,12.7,34.9,60.2,36.4,59,59.6,55.9,51.3,66.7,78.2,69.4,59.5,6.3,17.5,73.8,59.4,22.5
Zamfara,20.8,9.6,3.7,13.7,19,9.5,15,17.4,14.2,12.6,13,24.4,16.6,13.8,1.5,73.4,15.8,11.9,4.4
