state,zone,year,dtp1_coverage,zero_dose_pct,n_children_12_23m,source_table,source_report,data_status
FCT,North Central,2008,87.2,12.8,48,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
FCT,North Central,2013,83.9,16.1,38,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
FCT,North Central,2018,85.5,14.5,41,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
FCT,North Central,2024,93.8,6.2,83,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Benue,North Central,2008,60.5,39.5,137,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Benue,North Central,2013,55.6,44.4,187,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Benue,North Central,2018,76.8,23.2,194,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Benue,North Central,2024,67.3,32.7,100,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Kogi,North Central,2008,78.6,21.4,80,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Kogi,North Central,2013,87.1,12.9,83,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Kogi,North Central,2018,80.1,19.9,80,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Kogi,North Central,2024,43.0,57.0,77,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Kwara,North Central,2008,71.8,28.2,68,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Kwara,North Central,2013,73.5,26.5,69,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Kwara,North Central,2018,60.8,39.2,105,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Kwara,North Central,2024,48.3,51.7,81,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Nasarawa,North Central,2008,53.6,46.4,54,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Nasarawa,North Central,2013,60.1,39.9,90,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Nasarawa,North Central,2018,79.4,20.6,85,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Nasarawa,North Central,2024,79.7,20.3,114,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Niger,North Central,2008,38.7,61.3,142,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Niger,North Central,2013,52.7,47.3,253,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Niger,North Central,2018,54.7,45.3,256,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Niger,North Central,2024,44.0,56.0,237,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Plateau,North Central,2008,79.5,20.5,111,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Plateau,North Central,2013,62.4,37.6,91,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Plateau,North Central,2018,86.3,13.7,104,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Plateau,North Central,2024,64.7,35.3,126,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Adamawa,North East,2008,52.5,47.5,122,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Adamawa,North East,2013,80.3,19.7,133,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Adamawa,North East,2018,80.2,19.8,151,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Adamawa,North East,2024,70.9,29.1,117,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Bauchi,North East,2008,16.4,83.6,194,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Bauchi,North East,2013,25.4,74.6,265,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Bauchi,North East,2018,47.0,53.0,278,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Bauchi,North East,2024,63.1,36.9,318,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Borno,North East,2008,17.0,83.0,179,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Borno,North East,2013,19.5,80.5,226,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Borno,North East,2018,56.2,43.8,221,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Borno,North East,2024,68.3,31.7,194,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Gombe,North East,2008,48.6,51.4,97,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Gombe,North East,2013,44.4,55.6,98,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Gombe,North East,2018,37.3,62.7,128,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Gombe,North East,2024,66.0,34.0,95,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Taraba,North East,2008,51.8,48.2,88,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Taraba,North East,2013,44.1,55.9,143,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Taraba,North East,2018,67.9,32.1,134,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Taraba,North East,2024,59.3,40.7,101,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Yobe,North East,2008,19.3,80.7,101,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Yobe,North East,2013,18.8,81.2,158,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Yobe,North East,2018,49.9,50.1,221,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Yobe,North East,2024,59.6,40.4,181,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Jigawa,North West,2008,11.7,88.3,188,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Jigawa,North West,2013,20.9,79.1,314,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Jigawa,North West,2018,58.9,41.1,246,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Jigawa,North West,2024,65.7,34.3,197,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Kaduna,North West,2008,60.5,39.5,247,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Kaduna,North West,2013,60.5,39.5,219,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Kaduna,North West,2018,53.5,46.5,362,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Kaduna,North West,2024,54.4,45.6,368,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Kano,North West,2008,24.6,75.4,394,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Kano,North West,2013,26.2,73.8,530,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Kano,North West,2018,59.8,40.2,431,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Kano,North West,2024,57.6,42.4,531,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Katsina,North West,2008,8.6,91.4,269,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Katsina,North West,2013,23.3,76.7,326,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Katsina,North West,2018,42.5,57.5,392,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Katsina,North West,2024,60.2,39.8,290,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Kebbi,North West,2008,26.5,73.5,126,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Kebbi,North West,2013,4.9,95.1,220,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Kebbi,North West,2018,30.0,70.0,207,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Kebbi,North West,2024,16.0,84.0,167,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Sokoto,North West,2008,5.5,94.5,175,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Sokoto,North West,2013,3.3,96.7,204,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Sokoto,North West,2018,24.6,75.4,178,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Sokoto,North West,2024,13.5,86.5,196,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Zamfara,North West,2008,23.9,76.1,145,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
Zamfara,North West,2013,12.2,87.8,289,Table 10.3,NDHS 2013 (FR293),CONFIRMED_FROM_PDF
Zamfara,North West,2018,17.1,82.9,220,Table 10.3,NDHS 2018 (FR359),CONFIRMED_FROM_PDF
Zamfara,North West,2024,17.4,82.6,199,Table 10.4,NDHS 2024 (FR395),CONFIRMED_FROM_PDF
Abia,South East,2008,74.7,25.3,71,Table A-10.3,NDHS 2008 (FR222),CONFIRMED_FROM_PDF
