state_name,zone_name,dtp1_2008,n_2008,zero_dose_2008,dtp1_2013,n_2013,zero_dose_2013,dtp1_2018,n_2018,zero_dose_2018,dtp1_2024,n_2024,zero_dose_2024,change_2008_2024,change_2013_2024,change_2018_2024,anc_4plus,delivered_in_hf,pct_c12to23_vax_card_seen,pct_cu5_birth_registered,pct_using_improved_water_source,pct_cu5_slept_under_itn,pct_cu5_diarrhea_treated_ors,pct_problem_accessing_hfdistance,pct_cu5_stunted,pct_women_no_education,pct_lowest_wealth_quintile,pct_severely_food_insecure,total_fertility_rate,pct_urban,pct_muslim,pct_women_with_mobile_phone,pct_media_at_least_once_week,pct_women_curr_employed,pct_women_participate_decision_own_health,pct_women_say_wife_beating_justified,pct_women_moved_current_res_past5yrs
Jigawa,North West,11.7,188,88.3,20.9,314,79.1,58.9,246,41.1,65.7,197,34.3,54,44.8,6.8,37.7,21.4,56.6,15.7,84.1,61.1,36.6,32,55.7,70.5,68.4,31.2,6.9,11.5,99.9,31.2,21.4,20.7,11.3,28.2,17.5
Kaduna,North West,60.5,247,39.5,60.5,219,39.5,53.5,362,46.5,54.4,368,45.6,-6.1,-6.1,0.9,59.4,25.9,39.4,25.7,77.1,58.3,48.4,30.8,40.7,35.8,51.1,33.9,5.6,38.2,82.2,53.4,30.9,30.9,29.8,26.4,27.2
Kano,North West,24.6,394,75.4,26.2,530,73.8,59.8,431,40.2,57.6,531,42.4,33,31.4,-2.2,51.3,32.7,57,50.7,95.8,75.1,48.4,13.2,51.9,40.2,22.5,42.6,5.8,34.3,99.1,56,38.7,52.6,17.6,27.8,24.2
Katsina,North West,8.6,269,91.4,23.3,326,76.7,42.5,392,57.5,60.2,290,39.8,51.6,36.9,17.7,37.2,15.8,50.6,40.2,64,59.2,48.4,22,64.6,53,0.3,36.3,5.7,25.6,100,45.4,22.4,74.1,85.7,42.1,20.8
Kebbi,North West,26.5,126,73.5,4.9,220,95.1,30,207,70,16,167,84,-10.5,11.1,-14,14,8.8,16.2,18.8,31.1,63.4,48.4,43,60,85.8,0.8,34.5,6.6,14.3,96,24.8,8.7,78.2,75.4,37.6,36.4
Sokoto,North West,5.5,175,94.5,3.3,204,96.7,24.6,178,75.4,13.5,196,86.5,8,10.2,-11.1,22.7,12.5,11.9,19,39.2,24.5,56,48.2,42.8,83.9,3.1,32.5,5.4,9.8,99.3,45.4,7,69.9,81.4,34.5,5.8
Zamfara,North West,23.9,145,76.1,12.2,289,87.8,17.1,220,82.9,17.4,199,82.6,-6.5,5.2,0.3,21.5,15.3,13.5,29.1,59.7,70.9,48.4,7.3,64.2,76,1,50.7,6.3,20.6,100,35.3,22.5,55.7,92.5,33.7,15.8
Adamawa,North East,52.5,122,47.5,80.3,133,19.7,80.2,151,19.8,70.9,117,29.1,18.4,-9.4,-9.3,56.4,41.6,49.6,39.3,59.6,60.7,46.6,48.3,48.6,33.6,13.6,30.9,5.3,24.2,69.3,54.7,16.7,68.9,61.8,40.1,23.5
Bauchi,North East,16.4,194,83.6,25.4,265,74.6,47,278,53,63.1,318,36.9,46.7,37.7,16.1,46.6,31.1,61.6,24.8,68.2,62.4,46.6,25.9,61.7,63.1,4.3,35.3,6.2,17.1,95.2,42.5,26.8,64.8,38.2,48.8,41
Borno,North East,17,179,83,19.5,226,80.5,56.2,221,43.8,68.3,194,31.7,51.3,48.8,12.1,61.1,45.9,55.8,28.9,82.2,62.4,43.7,36.3,40.9,57.8,34.3,44.2,6.5,80.6,92,55.4,15.9,65.4,21.1,24.5,30.7
Gombe,North East,48.6,97,51.4,44.4,98,55.6,37.3,128,62.7,66,95,34,17.4,21.6,28.7,39.1,48.5,58.3,33.7,59.8,62.9,60,12.5,50.6,53,17.5,44.2,5.5,25.4,91.2,46.4,31.1,45.1,21.6,16.8,60.5
