2025 Data,,
Zone,State,Under 5
NCZ,Benue," 1,195,652 "
NCZ,FCT," 533,384 "
NCZ,Kogi," 891,352 "
NCZ,Kwara," 662,443 "
NCZ,Nasarawa," 593,768 "
NCZ,Niger," 1,456,693 "
NCZ,Plateau," 858,478 "
NEZ,Adamawa," 925,165 "
NEZ,Bauchi," 1,807,025 "
NEZ,Borno," 1,218,820 "
NEZ,Gombe," 832,062 "
NEZ,Taraba," 720,942 "
NEZ,Yobe," 735,663 "
NWZ,Jigawa," 1,639,610 "
NWZ,Kaduna," 1,855,740 "
NWZ,Kano," 3,176,581 "
NWZ,Katsina," 2,361,603 "
NWZ,Kebbi," 1,224,863 "
NWZ,Sokoto," 1,381,676 "
NWZ,Zamfara," 1,272,670 "
SEZ,ABIA," 504,324 "
SEZ,Anambra," 710,496 "
SEZ,Ebonyi," 515,109 "
SEZ,Enugu," 579,958 "
SEZ,Imo," 676,718 "
SSZ,Akwa Ibom," 634,373 "
SSZ,Bayelsa," 334,641 "
SSZ,Cross River," 603,685 "
SSZ,Delta," 756,601 "
SSZ,Edo," 641,090 "
SSZ,Rivers," 939,020 "
SWZ,Ekiti," 437,830 "
SWZ,Lagos," 1,787,278 "
SWZ,Ogun," 953,144 "
SWZ,Ondo," 717,655 "
SWZ,Osun," 550,063 "
SWZ,Oyo," 1,078,449 "
